,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
0,368926035.0,2023-01-01T00:00:05,38.65165,-90.17964,0.1,360.0,511.0,KIMMSWICK,,AENA,33.0,15.0,,,,33.0,A
1,367647050.0,2023-01-01T00:00:04,30.16506,-90.99936,6.3,161.4,511.0,USS CAIRO,,WDH7325,31.0,0.0,20.0,,,31.0,A
2,352001704.0,2023-01-01T00:00:04,28.91963,-94.37033,14.7,97.5,97.0,ENEOS EXPLORER,IMO9935492,3E2723,80.0,0.0,230.0,36.0,11.7,80.0,A
3,367104060.0,2023-01-01T00:00:00,34.33537,-119.56046,14.8,202.9,511.0,ALAN T,IMO8982577,WDC9571,60.0,15.0,28.0,7.0,,0.0,A
4,367099730.0,2023-01-01T00:00:02,26.53889,-97.40485,0.0,360.0,511.0,JESSIE M,,WDJ2892,52.0,0.0,0.0,0.0,0.0,52.0,A
5,367579120.0,2023-01-01T00:00:03,29.32348,-94.78112,0.0,248.5,511.0,TERRY FONTENOT,,WDG8590,31.0,0.0,16.0,7.0,,52.0,A
6,367015890.0,2023-01-01T00:00:09,39.853,-75.24165,0.0,360.0,511.0,DOROTHY J,,WDC3893,31.0,0.0,19.0,7.0,,31.0,A
7,366995260.0,2023-01-01T00:00:01,30.47154,-91.19402,0.6,166.3,183.0,CAPT JAMES HOOVER,,WDC2583,31.0,0.0,16.0,6.0,,52.0,A
8,538008717.0,2023-01-01T00:00:01,23.64963,-83.18562,5.7,269.0,274.0,VELOS FORTUNA,IMO9347310,V7A2686,89.0,0.0,182.0,32.0,7.5,89.0,A
9,368261060.0,2023-01-01T00:00:06,30.51808,-91.22525,9.8,246.6,246.0,AMERICAN SYMPHONY,,,60.0,0.0,100.0,18.0,0.0,60.0,A
10,367321680.0,2023-01-01T00:00:04,30.72482,-88.05849,0.0,319.7,511.0,BEN R JOHNSON,,WDE2189,31.0,,17.0,6.0,,,B
11,367745570.0,2023-01-01T00:00:01,29.72929,-95.05452,0.0,33.5,147.0,QUINCEY CENAC,,WDI9133,31.0,12.0,,,,57.0,A
12,367610770.0,2023-01-01T00:00:04,27.9532,-82.44167,0.0,360.0,511.0,MR DUCK,,WDH3774,31.0,15.0,15.0,6.0,,52.0,A
13,338224354.0,2023-01-01T00:00:02,47.64484,-122.31189,0.0,360.0,511.0,WAYFINDER,IMO0000000,,37.0,,10.0,3.0,,,B
14,367476050.0,2023-01-01T00:00:02,46.09354,-122.9242,0.0,150.7,107.0,CLACKAMAS,,WDF6614,31.0,0.0,20.0,6.0,,33.0,A
15,316047734.0,2023-01-01T00:00:05,49.31105,-123.09294,0.0,360.0,511.0,FINNESS,IMO0000000,,37.0,,17.0,5.0,,,B
16,368233490.0,2023-01-01T00:00:06,41.17235,-72.81058,7.4,85.4,87.0,MULBERRY,,WDM7381,57.0,12.0,18.0,7.0,2.2,57.0,A
17,368012890.0,2023-01-01T00:00:06,35.52699,-89.95959,0.0,294.6,511.0,MISS KIM,,WDJ8080,31.0,0.0,18.0,7.0,,31.0,A
18,367474680.0,2023-01-01T00:00:08,29.7032,-91.22162,0.0,250.3,511.0,CUSTOM,,WDF6479,31.0,0.0,17.0,7.0,,57.0,A
19,311073800.0,2023-01-01T00:00:08,29.2333,-94.45173,0.0,343.7,85.0,EURO,IMO9567702,C6AA5,80.0,1.0,274.0,48.0,13.7,80.0,A
20,368216680.0,2023-01-01T00:00:00,47.3036,-122.50945,2.9,143.1,143.0,MISTAKES WERE MADE,IMO0000000,,37.0,,10.0,6.0,,,B
21,338192032.0,2023-01-01T00:00:03,47.67331,-122.20882,0.0,168.0,511.0,TAINA,IMO0000000,,37.0,,17.0,7.0,,,B
22,316050437.0,2023-01-01T00:00:09,49.29301,-123.04469,0.0,0.0,181.0,SENTINEL 304,,CFA3844,90.0,15.0,74.0,20.0,0.0,90.0,A
23,316006075.0,2023-01-01T00:00:05,49.2912,-123.36604,1.4,279.0,511.0,MAREN J,,,52.0,0.0,14.0,6.0,2.3,52.0,A
24,367658610.0,2023-01-01T00:00:07,28.54712,-90.75697,9.1,226.0,226.0,BROOKE,IMO9704295,WDH8496,90.0,0.0,91.0,18.0,5.9,70.0,A
25,367320510.0,2023-01-01T00:00:02,38.83156,-82.15383,0.0,219.6,511.0,O NELSON JONES,,WDE2106,31.0,0.0,46.0,12.0,,31.0,A
26,338441446.0,2023-01-01T00:00:04,38.77567,-76.5631,0.0,360.0,511.0,SIA,IMO0000000,SIA,36.0,,10.0,6.0,,,B
27,368260780.0,2023-01-01T00:00:04,25.78328,-80.16468,3.5,107.1,511.0,CORMORANT,IMO0000000,WDN2300,37.0,,13.0,4.0,,,B
28,338146548.0,2023-01-01T00:00:04,47.64414,-122.27523,6.9,345.7,511.0,GYPSY SPIRIT,IMO0000000,WDH4669,37.0,,14.0,5.0,,,B
29,367597530.0,2023-01-01T00:00:02,40.7869,-73.92074,0.0,134.0,33.0,HUNTS POINT,IMO9648049,WDH2432,90.0,9.0,88.0,21.0,4.6,80.0,A
30,636019142.0,2023-01-01T00:00:02,28.56499,-94.73412,0.6,340.1,28.0,SOHO SQUARE,IMO9505819,D5TD3,80.0,0.0,249.0,44.0,8.0,80.0,A
31,368251930.0,2023-01-01T00:00:00,25.31154,-80.28046,0.0,360.0,511.0,M/Y DREAMS,IMO0000000,WDM9357,37.0,,0.0,0.0,,,B
32,352001262.0,2023-01-01T00:00:01,48.96757,-123.18373,11.5,312.7,313.0,BOHOL ISLAND,IMO9926025,3E4010,70.0,0.0,180.0,30.0,8.6,70.0,A
33,368132240.0,2023-01-01T00:00:02,29.31765,-94.7778,0.0,360.0,511.0,CHELSEA ANN,IMO0000000,WDL4520,30.0,,19.0,6.0,,,B
34,367400740.0,2023-01-01T00:00:01,30.35033,-81.62083,0.0,258.8,511.0,CATHLEEN E MORAN,IMO6608684,WDE8034,31.0,0.0,31.0,8.0,4.7,31.0,A
35,368278180.0,2023-01-01T00:00:06,38.53129,-90.25852,10.2,201.8,511.0,CARRIE ELIZABETH,IMO0599138,WDN4132,52.0,0.0,20.0,8.0,0.0,52.0,A
36,338429317.0,2023-01-01T00:00:03,27.44993,-80.32091,0.0,360.0,511.0,LIFE IS GOOD,IMO0000000,,37.0,,14.0,5.0,,,B
37,367684470.0,2023-01-01T00:00:09,29.60102,-90.67328,0.0,290.3,511.0,CROSBY 2,,WDI3051,90.0,3.0,45.0,13.0,,0.0,A
38,367373630.0,2023-01-01T00:00:09,40.70006,-74.1526,0.0,273.1,296.0,MEAGAN ANN,IMO8976281,WDE5943,31.0,0.0,24.0,8.0,,52.0,A
39,367189030.0,2023-01-01T00:00:09,30.52027,-88.08381,0.0,360.0,132.0,MISSOURI H,,WRS7131,33.0,3.0,54.0,0.0,,33.0,A
40,367177840.0,2023-01-01T00:00:02,39.88651,-75.17644,0.0,269.1,511.0,BART TURECAMO,IMO7338808,WBR4464,31.0,0.0,30.0,8.0,4.2,52.0,A
41,366938780.0,2023-01-01T00:00:06,45.03106,-83.3696,9.6,131.5,131.0,JOHN J BOLAND,IMO7318901,WZE4539,70.0,0.0,207.0,23.0,9.1,70.0,A
42,367754480.0,2023-01-01T00:00:02,28.93864,-95.33763,2.0,103.3,353.0,POSEIDON,IMO9794226,WDJ2022,31.0,0.0,,,,52.0,A
43,367319330.0,2023-01-01T00:00:00,38.4036,-82.55694,0.0,79.3,511.0,MATTHEW T,IMO8851352,WDE2022,31.0,15.0,17.0,6.0,,31.0,A
44,368054020.0,2023-01-01T00:00:06,37.80123,-88.02081,5.2,254.6,511.0,KENOVA,IMO101288926,WDK4323,57.0,12.0,311.0,34.0,2.9,57.0,A
45,338423688.0,2023-01-01T00:00:06,30.04072,-81.70788,0.0,146.6,93.0,ENFIN,IMO0000000,,37.0,,14.0,5.0,,,B
46,367612530.0,2023-01-01T00:00:08,29.1402,-90.21137,0.0,141.9,339.0,HOS CAROUSEL,IMO9672600,WDH3940,90.0,0.0,97.0,19.0,6.0,70.0,A
47,368132980.0,2023-01-01T00:00:09,35.16127,-93.0728,6.9,314.1,316.0,KATHRYN LOUISE,,WDL4599,57.0,12.0,110.0,18.0,2.8,57.0,A
48,367638480.0,2023-01-01T00:00:02,48.75457,-122.49348,0.0,0.0,511.0,OCEAN HUNTER,IMO8705852,WDH6487,30.0,0.0,25.0,7.0,,30.0,A
49,368140370.0,2023-01-01T00:00:04,30.39144,-86.5068,0.0,360.0,511.0,GINGER GALE,IMO0000000,WDL5359,37.0,,13.0,4.0,,,B
